id_estudiante,codigo_materia,b1_virtual,b1_presencial,b1_examen,b1_talleres,b1_deberes,b2_virtual,b2_presencial,b2_examen,b2_talleres,b2_deberes
1751111111,FC303,2.00,4.00,4.50,4.00,3.80,2.00,3.80,5.00,3.90,3.80
1752222222,ED202,1.80,3.80,5.00,3.80,3.80,1.90,3.90,5.50,3.80,3.90
1752222222,FC303,2.00,3.90,5.80,4.00,3.90,2.00,4.00,5.90,4.00,4.00
1753333333,ED202,1.20,2.20,3.00,2.10,2.00,1.00,1.80,0.00,1.50,1.40
1753333333,FC303,1.50,3.00,3.80,3.20,3.00,1.50,3.00,4.00,3.00,3.20
1754444444,ED202,1.60,3.20,4.20,3.60,3.40,1.50,3.00,4.00,3.20,3.10
1754444444,FC303,1.80,3.50,4.80,3.80,3.60,1.70,3.40,4.50,3.60,3.50
1751111111,CUV101,1.50,2.50,3.20,2.40,2.00,0.00,0.00,0.00,0.00,0.00
1751111111,ED202,2.00,3.50,4.00,3.50,3.50,2.00,3.50,5.00,3.50,3.50
1752222222,CUV101,2.00,4.00,5.50,4.00,4.00,2.00,4.00,6.00,4.00,4.00
1753333333,CUV101,1.20,2.20,3.00,2.10,2.00,1.00,1.80,3.00,1.50,1.40
1754444444,CUV101,2.00,3.50,4.50,3.50,3.50,2.00,3.50,5.50,3.50,3.50
